co_id,ticker_full,name,board,commodities,listing_date,status,covers_listing,first_price_date,last_price_date,trading_days,milestones_filled,consolidated,split_factor,n_splits,div_total,vol_base,mcap_30jun2026,px_base,px_d7,px_d30,px_d90,px_d180,px_d365,px_d730,px_d1095,px_d1825,px_d2555,px_d3650,px_d5475,px_latest,ret_d7,ret_d30,ret_d90,ret_d180,ret_d365,ret_d730,ret_d1095,ret_d1825,ret_d2555,ret_d3650,ret_d5475,ret_latest
X-1471,CLCH.TO,Clinch Resources Ltd.,TSX,Coal,2026-03-20,ok,True,2026-03-20,2026-08-25,109.0,3.0,False,1.0,0.0,0.0,89180.0,472838818.97,2.06,1.6,1.35,1.45,,,,,,,,,1.14,-0.2233,-0.3447,-0.2961,,,,,,,,,-0.4466
X-1466,CDE.TO,"Coeur Mining, Inc.",TSX,Gold | Silver | Copper,2026-03-16,ok,True,2026-03-17,2026-08-25,112.0,3.0,False,1.0,0.0,0.028,93620.0,14883821324.9,25.1113,24.3921,26.9692,26.09,,,,,,,,,29.82,-0.0286,0.074,0.039,,,,,,,,,0.1875
V-04532,CNL.TO,Collective Mining Ltd.,TSX,Gold | Silver | Copper | Tungsten,2023-09-06,ok,True,2019-01-11,2026-08-25,1913.0,6.0,False,1.0,0.0,0.0,70860.0,1618339297.15,6.262,5.93,4.92,4.21,4.12,4.44,19.27,,,,,,22.74,-0.053,-0.2143,-0.3277,-0.3421,-0.291,2.0773,,,,,,2.6314
X-1494,CTGO.TO,Contango Silver & Gold Inc.,TSX,Gold | Silver,2026-04-13,ok,True,2026-04-13,2026-08-25,94.0,3.0,False,1.0,0.0,0.0,14960.0,688846156.14,33.892,32.81,36.26,23.12,,,,,,,,,28.24,-0.0319,0.0699,-0.3178,,,,,,,,,-0.1668
COP0013,COPR.TO,Coppernico Metals Inc.,TSX,Gold | Copper,2024-08-13,ok,True,2024-08-13,2026-08-25,511.0,6.0,False,1.0,0.0,0.0,329682.0,58870835.87,0.312,0.295,0.395,0.37,0.205,0.185,0.45,,,,,,0.4325,-0.0545,0.266,0.1859,-0.3429,-0.4071,0.4423,,,,,,0.3862
DEN0006,DML.TO,Denison Mines Corp.,TSX,Uranium,2004-03-12,ok,True,1997-05-20,2026-08-25,7353.0,11.0,False,1.0,0.0,0.0,345971.0,3936870181.8,2.1743,2.4112,2.0305,1.692,3.2487,4.3824,5.3553,11.7513,1.0237,2.6988,1.78,0.68,5.13,0.109,-0.0661,-0.2218,0.4941,1.0155,1.463,4.4046,-0.5292,0.2412,-0.1813,-0.6873,1.3594
V-02131,DSV.TO,Discovery Silver Corp.,TSX,Silver,2023-02-03,ok,True,2014-10-24,2026-08-25,2970.0,7.0,False,1.0,0.0,0.0,321320.0,6891556105.44,1.262,1.27,1.1,1.18,0.75,0.63,1.51,9.18,,,,,12.66,0.0063,-0.1284,-0.065,-0.4057,-0.5008,0.1965,6.2742,,,,,9.0317
DUN0006,DPM.TO,DPM Metals Inc.,TSX,Gold | Copper,1983-11-01,no price near listing,False,1995-01-12,2026-08-25,7946.0,1.0,False,5.0,1.0,1.251,,10160951933.02,,,,,,,,,,,,1.8747,69.74,,,,,,,,,,,,
DYN0019,DNG.TO,Dynacor Group Inc.,TSX,Copper,2007-10-24,ok,True,2007-10-25,2026-08-25,4726.0,11.0,False,1.0,0.0,0.814,6440.0,253790070.6,0.4808,0.4683,0.2732,0.3044,0.3434,0.1171,0.2264,0.7806,1.0538,1.3114,1.5611,2.3634,6.06,-0.026,-0.4318,-0.3669,-0.2858,-0.7564,-0.5291,0.6235,1.1918,1.7275,2.2469,3.9156,11.604
ELG0001,ELR.TO,Eastern Platinum Limited,TSX,Platinum/PGM,2005-01-10,ok,True,1996-08-13,2026-08-25,7546.0,11.0,True,0.1,1.0,0.0,25376.0,62827384.93,3.26,3.2,3.9,3.8,11.5,13.7,12.8,29.9,13.2,6.1,1.6,0.35,0.36,-0.0184,0.1963,0.1656,2.5276,3.2025,2.9264,8.1718,3.0491,0.8712,-0.5092,-0.8926,-0.8896
ANG0008,ECOR.TO,Ecora Royalties PLC,TSX,Copper | Nickel | Iron | Rare Earths | Lithium | Coal,2010-07-09,no price near listing,False,2010-08-17,2026-08-25,4021.0,10.0,False,1.0,0.0,1.742,,638978629.12,,,2.0858,2.2108,2.675,2.3706,2.2998,1.5817,1.007,1.3208,2.2028,1.2204,3.3,,,,,,,,,,,,
ELD0001,ELD.TO,Eldorado Gold Corporation,TSX,Gold | Silver | Copper,1993-10-22,no price near listing,False,1996-04-16,2026-08-25,7628.0,5.0,False,1.0,0.0,2.157,,11532705646.1,,,,,,,,41.731,2.2065,2.926,18.707,22.8321,66.5,,,,,,,,,,,,
V-02730,ELE.TO,Elemental Royalty Corporation,TSX,Gold | Silver | Copper | Platinum/PGM | Iron | Tungsten,2026-04-07,ok,True,2012-01-03,2026-08-25,3676.0,3.0,False,1.0,0.0,0.043,35600.0,1602245843.88,26.9084,27.9285,24.2154,24.2,,,,,,,,,31.58,0.0379,-0.1001,-0.1007,,,,,,,,,0.1736
V-00622,ELO.TO,Eloro Resources Ltd.,TSX,Gold | Silver,2023-03-06,ok,True,2007-10-25,2026-08-25,4726.0,7.0,False,1.0,0.0,0.0,50820.0,197966153.69,3.404,3.39,3.65,3.45,2.38,1.31,0.9,2.43,,,,,2.12,-0.0041,0.0723,0.0135,-0.3008,-0.6152,-0.7356,-0.2861,,,,,-0.3772
