ticker_full,co_id,name,board,mcap,isin,cusip,sedar_issuer_no,former_names,stage,incorporation_jurisdiction
LG.V,V-04870,Lahontan Gold Corp.,TSXV,153424427.885,,,,,,
CGNT.V,V-02917,Copper Giant Resources Corp.,TSXV,152503342.56,,,,,,
SCOT.V,V-03879,Scottie Resources Corp.,TSXV,152351777.16,,,,,,
PPX.V,V-01783,PPX Mining Corp.,TSXV,152146744.925,,,,,,
LTH.V,V-04721,Lithium Ionic Corp.,TSXV,147975906.75,,,,,,
CYG.V,V-04537,Cygnus Metals Limited,TSXV,146509600.8,,,,,,
FURY.TO,AUR0018,Fury Gold Mines Limited,TSX,142592895.75,,,,,,
KFR.V,V-04507,Kingfisher Metals Corp.,TSXV,138953498.1,,,,,,
GGO.V,V-01357,Galleon Gold Corp.,TSXV,136469682.98,,,,,,
FLCN.V,V-01758,Falcon Energy Materials PLC,TSXV,136224314.4,,,,,,
OCG.TO,V-01295,Outcrop Silver & Gold Corporation,TSX,135566174.975,,,,,,
MMA.V,V-02718,Midnight Sun Mining Corp.,TSXV,134896251.38,,,,,,
TDG.V,V-04490,TDG Gold Corp.,TSXV,134359061.76,,,,,,
EXN.V,EXC0010,Excellon Resources Inc.,TSXV,132776914.935,,,,,,
KTN.V,V-01099,Kootenay Silver Inc.,TSXV,132500025.42,,,,,,
BRAU.V,V-00089,Big Ridge Gold Corp.,TSXV,132450505.2,,,,,,
SVE.V,V-02753,Silver One Resources Inc.,TSXV,132242752.5,,,,,,
FAN.V,V-04132,First Atlantic Nickel & Cobalt Corp.,TSXV,131505611.72,,,,,,
NRC.V,V-05017,Nations Royalty Corp.,TSXV,130393735.08,,,,,,
DMX.V,V-00458,District Metals Corp.,TSXV,129749046.28,,,,,,
TUNG.V,V-5104,American Tungsten Corp,TSXV,129459648.48,,,,,,
ONYX.V,V-04972,Onyx Gold Corp.,TSXV,129297941.76,,,,,,
BOGO.V,V-05020,Borealis Mining Company Limited,TSXV,128405237.49,,,,,,
OMI.V,ORO0008,Orosur Mining Inc.,TSXV,128321623.68,,,,,,
AGAG.V,V-02136,Argenta Silver Corp.,TSXV,127748500.88,,,,,,
RUA.TO,V-05019,Rua Gold Inc.,TSX,127568704.71,,,,,,
